File_name,Problem type,Variables number,DD Type,Max Width,Is Reduced,Objective Type,Optimization Value,Construction Time,Reduce Time,Solution Time,Number Node,Number Arcs,Actual Max Width
knapPI_1_100_1000_1,Knapsack,100,Relaxed,1000,false,max,9147,0.01812,na,na,69924,97670,901
knapPI_1_100_1000_1,Knapsack,100,Relaxed,2000,false,max,9147,0.01681,na,na,69924,97670,901
knapPI_1_100_1000_1,Knapsack,100,Relaxed,5000,false,max,9147,0.01744,na,na,69924,97670,901
knapPI_1_100_1000_1,Knapsack,100,Relaxed,10000,false,max,9147,0.01691,na,na,69924,97670,901
knapPI_1_100_1000_1,Knapsack,100,Relaxed,20000,false,max,9147,0.01723,na,na,69924,97670,901
knapPI_1_200_1000_1,Knapsack,200,Exact,99999,false,max,11238,0.04252,na,na,166220,238701,969
knapPI_1_200_1000_1,Knapsack,200,Restricted,500,false,max,11238,0.01692,na,na,93217,115475,577
knapPI_1_200_1000_1,Knapsack,200,Restricted,1000,false,max,11238,0.04023,na,na,166220,238701,969
knapPI_1_200_1000_1,Knapsack,200,Restricted,2000,false,max,11238,0.04009,na,na,166220,238701,969
knapPI_1_200_1000_1,Knapsack,200,Restricted,5000,false,max,11238,0.03881,na,na,166220,238701,969
knapPI_1_200_1000_1,Knapsack,200,Restricted,10000,false,max,11238,0.04044,na,na,166220,238701,969
knapPI_1_200_1000_1,Knapsack,200,Restricted,20000,false,max,11238,0.04144,na,na,166220,238701,969
knapPI_1_200_1000_1,Knapsack,200,Relaxed,500,false,max,14876,0.02226,na,na,94216,117777,578
knapPI_1_200_1000_1,Knapsack,200,Relaxed,1000,false,max,11238,0.04013,na,na,166220,238701,969
knapPI_1_200_1000_1,Knapsack,200,Relaxed,2000,false,max,11238,0.04004,na,na,166220,238701,969
knapPI_1_200_1000_1,Knapsack,200,Relaxed,5000,false,max,11238,0.04062,na,na,166220,238701,969
knapPI_1_200_1000_1,Knapsack,200,Relaxed,10000,false,max,11238,0.03956,na,na,166220,238701,969
knapPI_1_200_1000_1,Knapsack,200,Relaxed,20000,false,max,11238,0.04096,na,na,166220,238701,969
knapPI_1_500_1000_1,Knapsack,500,Exact,99999,false,max,28857,0.41239,na,na,1213594,2170114,2536
knapPI_1_500_1000_1,Knapsack,500,Restricted,500,false,max,22287,0.04221,na,na,247960,305311,828
knapPI_1_500_1000_1,Knapsack,500,Restricted,1000,false,max,25935,0.08928,na,na,492557,728965,1330
knapPI_1_500_1000_1,Knapsack,500,Restricted,2000,false,max,28857,0.19035,na,na,977676,1698570,2112
knapPI_1_500_1000_1,Knapsack,500,Restricted,5000,false,max,28857,0.41085,na,na,1213594,2170114,2536
knapPI_1_500_1000_1,Knapsack,500,Restricted,10000,false,max,28857,0.41388,na,na,1213594,2170114,2536
knapPI_1_500_1000_1,Knapsack,500,Restricted,20000,false,max,28857,0.41350,na,na,1213594,2170114,2536
knapPI_1_500_1000_1,Knapsack,500,Relaxed,500,false,max,107082,0.06961,na,na,278450,366578,830
knapPI_1_500_1000_1,Knapsack,500,Relaxed,1000,false,max,85447,0.14905,na,na,512216,758312,1332
knapPI_1_500_1000_1,Knapsack,500,Relaxed,2000,false,max,37859,0.34627,na,na,980922,1702264,2113
knapPI_1_500_1000_1,Knapsack,500,Relaxed,5000,false,max,28857,0.40797,na,na,1213594,2170114,2536
knapPI_1_500_1000_1,Knapsack,500,Relaxed,10000,false,max,28857,0.40914,na,na,1213594,2170114,2536
knapPI_1_500_1000_1,Knapsack,500,Relaxed,20000,false,max,28857,0.41357,na,na,1213594,2170114,2536
knapPI_1_1000_1000_1,Knapsack,1000,Restricted,500,false,max,31769,0.08151,na,na,500539,617918,898
knapPI_1_1000_1000_1,Knapsack,1000,Exact,99999,false,max,54503,2.01079,na,na,4913799,9318236,4999
knapPI_1_1000_1000_1,Knapsack,1000,Restricted,1000,false,max,38746,0.17447,na,na,996612,1483926,1705
knapPI_1_1000_1000_1,Knapsack,1000,Restricted,2000,false,max,46141,0.37738,na,na,1985187,3459652,2772
knapPI_1_1000_1000_1,Knapsack,1000,Restricted,5000,false,max,54503,2.02310,na,na,4913799,9318236,4999
knapPI_1_1000_1000_1,Knapsack,1000,Restricted,10000,false,max,54503,2.08277,na,na,4913799,9318236,4999
knapPI_1_1000_1000_1,Knapsack,1000,Relaxed,500,false,max,352782,0.17042,na,na,665591,932021,922
knapPI_1_1000_1000_1,Knapsack,1000,Restricted,20000,false,max,54503,2.09246,na,na,4913799,9318236,4999
knapPI_1_1000_1000_1,Knapsack,1000,Relaxed,1000,false,max,328930,0.34937,na,na,1182695,1765051,1706
knapPI_1_1000_1000_1,Knapsack,1000,Relaxed,2000,false,max,279224,0.79881,na,na,2107040,3589501,2775
knapPI_1_1000_1000_1,Knapsack,1000,Relaxed,5000,false,max,54503,2.04393,na,na,4913799,9318236,4999
knapPI_1_1000_1000_1,Knapsack,1000,Relaxed,10000,false,max,54503,2.09932,na,na,4913799,9318236,4999
knapPI_1_1000_1000_1,Knapsack,1000,Relaxed,20000,false,max,54503,2.09390,na,na,4913799,9318236,4999
knapPI_1_2000_1000_1,Knapsack,2000,Restricted,500,false,max,45673,0.15704,na,na,1004623,1243158,949
knapPI_1_2000_1000_1,Knapsack,2000,Restricted,1000,false,max,55484,0.33916,na,na,2003467,2983077,1773
knapPI_1_2000_1000_1,Knapsack,2000,Restricted,2000,false,max,69293,0.74525,na,na,3993701,6958756,3073
knapPI_1_2000_1000_1,Knapsack,2000,Restricted,5000,false,max,91486,2.76946,na,na,9948893,18876521,5985
knapPI_1_2000_1000_1,Knapsack,2000,Exact,99999,false,max,110625,9.59592,na,na,19848776,38676979,10012
knapPI_1_2000_1000_1,Knapsack,2000,Relaxed,500,false,max,888429,0.38921,na,na,1549131,2278394,995
knapPI_1_2000_1000_1,Knapsack,2000,Relaxed,1000,false,max,870779,0.79374,na,na,2814418,4318575,1874
knapPI_1_2000_1000_1,Knapsack,2000,Restricted,10000,false,max,110625,6.93753,na,na,19834913,38649257,10004
knapPI_1_2000_1000_1,Knapsack,2000,Relaxed,2000,false,max,842963,1.75991,na,na,4939426,8283441,3346
knapPI_1_2000_1000_1,Knapsack,2000,Restricted,20000,false,max,110625,10.35062,na,na,19848776,38676979,10012
knapPI_1_2000_1000_1,Knapsack,2000,Relaxed,5000,false,max,728542,5.20341,na,na,10562223,19524838,5987
knapPI_1_5000_1000_1,Knapsack,5000,Restricted,500,false,max,74514,0.38519,na,na,2517564,3114087,956
knapPI_1_5000_1000_1,Knapsack,5000,Restricted,1000,false,max,90027,0.84063,na,na,5024932,7482536,1780
knapPI_1_5000_1000_1,Knapsack,5000,Restricted,2000,false,max,111101,1.88788,na,na,10019959,17458272,3077
knapPI_1_2000_1000_1,Knapsack,2000,Relaxed,10000,false,max,110625,11.74714,na,na,19834936,38649290,10005
knapPI_1_2000_1000_1,Knapsack,2000,Relaxed,20000,false,max,110625,10.76305,na,na,19848776,38676979,10012
knapPI_1_5000_1000_1,Knapsack,5000,Relaxed,500,false,max,2433861,1.09397,na,na,4319213,6559032,997
knapPI_1_5000_1000_1,Knapsack,5000,Restricted,5000,false,max,155082,7.33309,na,na,24966118,47375737,5996
knapPI_1_5000_1000_1,Knapsack,5000,Relaxed,1000,false,max,2426242,2.25106,na,na,7934685,12482384,1920
knapPI_1_5000_1000_1,Knapsack,5000,Relaxed,2000,false,max,2413326,4.87633,na,na,13651059,23113962,3542
knapPI_1_5000_1000_1,Knapsack,5000,Restricted,10000,false,max,202678,18.77595,na,na,49868762,97185091,10995
knapPI_1_5000_1000_1,Knapsack,5000,Relaxed,5000,false,max,2357632,14.05107,na,na,27613398,51598217,6374
